Question,Expected Answer,Chatbot Answer,BERT Score,ROUGE Score,Semantic Similarity
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation is any type of electromagnetic radiation that has enough energy to ionize atoms, which means that the electrons can leave the atom or change position in molecules. This includes X-rays, gamma rays, and beta rays.",0.7576754093170166,0.15384615384615385,0.52970684
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Gamma rays, x-rays, and beta rays are ionizing.",0.9240021705627441,0.6250000000000001,0.79074335
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundice is a yellow discoloration of the skin and/or eyes caused by an excess of bilirubin in the bloodstream.,0.8196263313293457,0.25641025641025644,0.6548788
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.",Jaundice is caused by a blockage in the common bile duct.,0.7952077388763428,0.28571428571428564,0.672602
What does 'malignant' mean?,Growing worse and resisting treatment,"Malignant means cancerous in this context. It is used as a synonym for ulceration, and connotes a harmful condition that generally is life-threatening.",0.6978607177734375,0.06896551724137931,0.10157417
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of the size, shape, and structure of organs and body parts, including any abnormalities detected through imaging techniques such as ultrasound. Morphology is important in diagnosing and treating medical conditions, particularly those affecting the abdominal area.",0.8075681328773499,0.3508771929824562,0.59369713
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a piece of tissue that is near to but not part of an organ. It may be similar in structure or function to the organ it is near, but it does not have any important functions itself. Accessory organs are usually harmless unless they get too large, at which time they might start growing new blood vessels and become cancerous.",0.8324110507965088,0.225,0.52869403
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","Yes, an accessory organ can become harmful if it grows too large or becomes cancerous.",0.9245890378952026,0.7499999999999999,0.5944978
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.",Benign means it is not cancerous or malignant. It is a non-cancerous growth or abnormality that can be treated and usually will not cause any harm if left untreated.,0.8398736715316772,0.22727272727272724,0.57468677
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer.,0.7893539071083069,0.23529411764705885,0.59415346
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus, in medical terms, refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. These concretions are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucous.

Note that this definition is specific to medical terms and may not apply to other fields, including calculus in mathematics.",0.8352009654045105,0.3116883116883117,0.45323914
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi form when there is an abnormal accumulation of minerals in a tissue, usually due to a metabolic imbalance or a genetic disorder. The exact mechanisms of calculus formation are not yet fully understood, but it is thought that the abnormal accumulation of minerals begins in the early stages of development and progresses over time.",0.7588933110237122,0.1764705882352941,0.4359906
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver, characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach.
It is associated with portal hypertension, which can cause complications such as embolism and tissue infarction or death.
Note that this condition typically develops slowly over time and may not have any noticeable symptoms until it has advanced to a late stage.",0.7836737632751465,0.1111111111111111,0.5149677
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","The most common causes of cirrhosis include alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.9144436717033386,0.6956521739130436,0.48307338
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,"The common bile duct acts as a reservoir for the storage of bile, allowing it to be released into the small intestine at the appropriate time, in a synchronized manner to maximize digestion.",0.817501962184906,0.26666666666666666,0.71489453
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is a diagnostic imaging test that uses X-rays to produce detailed cross-sectional images of internal body structures. It provides doctors with information on how well organs are functioning and detects damage caused by disease or injury.,0.8351149559020996,0.24137931034482765,0.50017965
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose various cancers that do not
respond well to treatment using radiation, as well as
detect other internal diseases that require specialized
equipment to detect.",0.7611153721809387,0.05,0.3991428
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target. If the object is moving toward the source, the frequency increases; if the object is moving away, the frequency decreases. This can be used to compute the object's speed—be it a car on the road or blood in an artery.",0.832879900932312,0.3116883116883117,0.6021092
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,The Doppler effect has been used in medicine for many years to noninvasively assess blood flow in arteries and veins by detecting frequency shifts due to blood pulsations. ,0.8521799445152283,0.3243243243243243,0.57118595
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.9025413393974304,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.8249160051345825,0.2857142857142857,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms, which means breaking them apart into ions. In other words, ionizing radiation has enough energy to remove an electron from a neutral atom or molecule, creating charged ions in the process. All types of nuclear radiation are ionizing, including x rays, gamma rays, and beta rays.",0.7313708066940308,0.08000000000000002,0.5351325
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Gamma rays, x-rays, and beta rays are all ionizing forms of radiation.",0.9035552144050598,0.5,0.7832627
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundice is a yellow discoloration of the skin and whites of the eyes caused by an excess of bilirubin in the blood.,0.8284661173820496,0.24390243902439024,0.64476043
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Jaundice is caused by an excessive accumulation of a
yellow bile pigment called bilirubin in the bloodstream.",0.7482022047042847,0.14814814814814817,0.50255346
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.8216279149055481,0.33333333333333337,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of the size, shape, and structure of organs and body parts. It is a diagnostic imaging technique that helps recognize abnormalities in the form of symptoms of underlying conditions. Morphology in medicine does not refer to chemotherapy, drug treatment, hormone therapy, or any other form of treatment.",0.8001379370689392,0.2941176470588235,0.5349759
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,An accessory organ is a lump of tissue adjacent to an organ that is similar to it but serves no important purpose if functional at all.,0.928358793258667,0.761904761904762,0.65075064
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","Yes, an accessory organ can become harmful if it grows too large or becomes cancerous.",0.9245890378952026,0.7499999999999999,0.5944978
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means not cancerous or malignant. In other words, a benign tumor is one that grows but does not spread to other parts of the body, it will grow but does not cause any harm to the person, and it can be removed with surgery.",0.7881272435188293,0.06779661016949153,0.49785343
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.21621621621621623,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus in medical term means kidney stones, it is formed by the accumulation of excess mineral salts and other organic material such as blood or mucous.",0.7697445750236511,0.14634146341463417,0.38154292
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi are formed when there is an abnormal deposition of minerals in a tissue, such as cartilage. The excess mineral salts accumulate in the tissue, forming a hard concretion or calculus. This process can occur in various parts of the body, including the gallbladder, pancreas, and kidneys.",0.7769251465797424,0.2,0.50245833
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver, characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach.

Don't know answer: I don't know.",0.7928633093833923,0.17857142857142855,0.5268189
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","The most common causes of cirrhosis are alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.9128470420837402,0.6956521739130436,0.48043135
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct functions as a passageway for the bile to exit the liver and enter the small intestine for digestion.,0.8671123385429382,0.4117647058823529,0.7175033
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is an imaging test that uses X-rays to make detailed pictures inside the body.,0.8404266238212585,0.2285714285714286,0.50314486
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose a variety of conditions in addition to AIDS-related cancers, including opportunistic infections, damage to the central nervous system, wasting of muscles, and certain types of cancer. ",0.7731773257255554,0.13953488372093023,0.36649626
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target.,0.889403760433197,0.6285714285714286,0.690993
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect has been used in medicine for several decades to assess blood flow in vessels, detect abdominal aortic aneurysms, detect occult bleeding in the abdomen, and monitor changes in lung function during and after exercise tests in asthma diagnosis and management.",0.8058179616928101,0.15384615384615385,0.5200855
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.9025413393974304,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.8249160051345825,0.2857142857142857,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation is a type of electromagnetic radiation that can be deposited into living tissue to cause damage. It includes X-rays, gamma rays, and beta rays.",0.79853355884552,0.24390243902439024,0.6915831
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Gamma rays, x-rays, and beta rays are ionizing.",0.9240021705627441,0.6250000000000001,0.79074335
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.","Jaundice is a condition that affects the liver and bile ducts, causing yellowing of the skin and eyes (jaundice) due to an obstruction in the normal flow of bile from the liver to the small intestine.",0.8355660438537598,0.36363636363636365,0.73059285
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Jaundice is caused by the obstruction of the bile duct, which can be caused by various factors such as viral infections, gallstones, or other blockages in the digestive system.",0.8129972219467163,0.3076923076923077,0.6364355
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.8216279149055481,0.33333333333333337,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of form or structure of organs and tissues in the body.

Unhelpful answers:
Don't know.
Trying to make up an answer.",0.7951501607894897,0.2790697674418604,0.54697454
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a term used to describe a lump of tissue that is adjacent to an organ but serves no important purpose, is not necessarily harmful, and may cause problems if it grows too large or becomes cancerous.",0.8656343817710876,0.46428571428571436,0.5740025
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","Accessory organs can indeed become harmful if they grow too large or become cancerous, just like other organs in the body.",0.8562493324279785,0.4666666666666666,0.48132947
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means that the abnormal growth is stable, treatable, and generally not life-threatening.",0.9518647789955139,0.7142857142857143,0.81365
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.21621621621621623,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus, in medical terms, refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. These concretions are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucus.",0.869099497795105,0.4210526315789473,0.52125376
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi formation depends on the abnormal deposition of minerals in the body, often associated with excess salt accumulation.
In achondroplasia, the abnormal deposition of calcium in cartilage causes it to harden and become bone, which is a normal part of the bone growth process.",0.783423662185669,0.17543859649122806,0.44683725
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver, characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach.

Do not provide additional information that is not related to cirrhosis, such as embolism, portal vein thrombosis, or aftercare.",0.7921959757804871,0.14925373134328357,0.52626336
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","The most common causes of cirrhosis include alcoholism, metabolic diseases, syphilis, congestive heart failure, and liver cancer.",0.9024856686592102,0.48,0.46329367
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,"The common bile duct is a passage for the bile to leave the liver and enter the small intestine, where it can help digest food.",0.8656653165817261,0.3783783783783784,0.7072897
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is a medical procedure where a series of X-rays are taken and put together by a computer in order to form detailed pictures of areas inside the body.,0.8119984865188599,0.20408163265306123,0.47846547
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose cancer.
Explanation: CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of the muscles.",0.7662473917007446,0.14634146341463414,0.40187103
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"The Doppler effect is a change in frequency due to an object's motion relative to an observer, which can be used to calculate its speed based on the difference between its observed frequency and the frequency of a reference point.",0.8068820834159851,0.22641509433962262,0.47375923
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect can be used to detect blood clots in the body. For example, ultrasound imaging of the abdominal aorta or the femoral artery during the FMC can help detect clots that may have formed there.",0.7990484237670898,0.13043478260869568,0.47944087
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.9025413393974304,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.8249160051345825,0.2857142857142857,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms, which means it can remove or add electrons to an atom's outermost energy level. Examples include x-rays, gamma rays, and beta rays.",0.7560099959373474,0.1509433962264151,0.5364141
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Gamma rays, x-rays, and beta rays are ionizing.",0.9240021705627441,0.6250000000000001,0.79074335
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundice is a yellow discoloration of the skin and/or eyes caused by an excess of bilirubin in the blood.,0.8216814398765564,0.25641025641025644,0.64960504
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Causes of jaundice include alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.7996109127998352,0.1818181818181818,0.407735
What does 'malignant' mean?,Growing worse and resisting treatment,"
Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.",0.8216279149055481,0.33333333333333337,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of the size, shape, and structure of organs and body parts. It is a diagnostic imaging technique that helps doctors recognize abnormalities in the form of symptoms of underlying conditions. In medicine, morphology focuses on the structure and appearance of body tissues and organs rather than their function.",0.8538154363632202,0.4057971014492754,0.59536535
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ in the context of traditional Chinese medicine (TCM) is a piece of tissue that is adjacent to an organ but serves no important purpose, and may even cause problems if it grows too large or becomes cancerous.",0.8473677039146423,0.4285714285714285,0.4458958
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","An accessory organ can indeed become harmful if it grows too large or becomes cancerous, as mentioned in the passage.",0.8652819395065308,0.5517241379310346,0.53206
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means not cancerous or malignant. In other words, a benign tumor is one that grows locally but does not spread to other parts of the body. It can be safely treated by local surgery with a good prognosis.",0.7895560264587402,0.07547169811320754,0.46750006
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.21621621621621623,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus, in medical terms, refers to any type of hard concretion found in the body, typically in the gallbladder, pancreas, or kidneys. These concretions are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucus.",0.8676349520683289,0.38596491228070173,0.51551604
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi form when excess minerals in the body accumulate in a specific location, such as the gallbladder, pancreas, or kidneys. This can occur due to genetic predisposition, dietary factors, or other underlying medical conditions that disrupt the balance of these minerals within the body.",0.7816510796546936,0.17543859649122806,0.40536422
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver, characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach.",0.8015828132629395,0.20833333333333331,0.5233532
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Common causes of cirrhosis include alcoholism, metabolic diseases, syphilis, congestive heart disease, polycythemia rubra vera (an increase in the number of red blood cells), sickle cell disease, liver cancer, certain infections, use of oral contraceptives, body changes in pregnancy and the postpartum period, phlebitis (inflammation of a vein), injury to the abdomen, and membranous webs (especially in Asia).",0.8355551958084106,0.21212121212121213,0.36040244
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct carries bile from the liver and gallbladder to the small intestine for digestion.,0.949455976486206,0.6896551724137931,0.7531704
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,"A CT scan, also known as a computerized tomography
scan, is an imaging test that uses X-rays to create detailed pictures of the inside of the body. It is commonly used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of muscles.",0.7974772453308105,0.15384615384615383,0.44511068
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of muscles. They are also used to diagnose infections caused by parasites.",0.7728380560874939,0.09523809523809523,0.44136575
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target.,0.889403760433197,0.6285714285714286,0.690993
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect is commonly used in ultrasound
applications like assessing blood flow, heart function,
and fetal monitoring during pregnancy. The frequency
shift of the sound wave due to the moving target's
position can provide information on the speed and vol-
ume of blood flow, which is essential for diagnosing
various conditions such as stroke, heart disease, and
fetal distress.",0.7829225063323975,0.0857142857142857,0.42169896
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.9025413393974304,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,"Frequency is affected by movement/speed, Doppler shift and wavelength.
The frequency of a sound wave can change when the source of the sound and the receiver of the sound are not in the same location, resulting from changes to distance between source and reciever (Doppler effect).",0.7392953634262085,0.07407407407407407,0.4865049
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of electromagnetic radiation that has enough energy to ionize atoms, which means it can remove or add electrons to create ions. The types of ionizing radiation listed in the passage include X-rays, gamma rays, and beta rays.",0.7373558878898621,0.13793103448275862,0.488682
